version,step,field,orilevel,newlevel
2022,pre,hr,Before 6:00 am,5
2022,pre,hr,6:00 am - 7:00 am,6
2022,pre,hr,7:00 am - 8:00 am,7
2022,pre,hr,8:00 am - 9:00 am,8
2022,pre,hr,9:01 am - 10:00 am,9
2022,pre,hr,10:00 am - 11:00 am,10
2022,pre,hr,11:00 am - 12:00 pm,11
2022,pre,hr,12:00 pm - 1:00 pm,12
2022,pre,hr,1:00 pm - 2:00 pm,13
2022,pre,hr,2:00 pm - 3:00 pm,14
2022,pre,hr,3:01 pm - 4:00 pm,15
2022,pre,hr,4:00 pm - 5:00 pm,16
2022,pre,hr,5:00 pm - 6:00 pm,17
2022,pre,hr,6:00 pm - 6:30 pm,18
2022,pre,hr,6:31 pm - 7:00 pm,18.5
2022,pre,hr,7:00 pm - 8:00 pm,19
2022,pre,hr,8:00 pm - 9:00 pm,20
2022,pre,hr,After 9:00 pm,21
2022,pre,access,"Walk, jog, or roll using a mobility device (e.g. wheelchair)",walk
2022,pre,access,My bike / e-bike / scooter / skateboard,bike
2022,pre,access,Drove alone and parked,drive
2022,pre,access,Was dropped off by someone,drive
2022,pre,access,"Uber, Lyft, Taxi (smartphone ride hailing)",drive
2022,pre,access,Drove or rode with others and parked,drive
2022,pre,access,"Shared bike / e-bike / scooter (e.g. Nice Ride, Bird, Lime)",bike
2022,pre,access,Other,drive
2022,pre,egress,"Walk, jog, or roll using a mobility device (e.g. wheelchair)",walk
2022,pre,egress,My bike / e-bike / scooter / skateboard,bike
2022,pre,egress,Be picked up by someone,drive
2022,pre,egress,Get in a parked vehicle & drive alone,drive
2022,pre,egress,"Shared bike / e-bike / scooter (e.g. Nice Ride, Bird, Lime)",bike
2022,pre,egress,Get in a parked vehicle & drive/ride with others,drive
2022,pre,egress,"Uber, Lyft, Taxi (smartphone ride hailing)",drive
2022,pre,egress,Other,drive
2016,pre,hr,Before 6:00 am,5
2016,pre,hr,6:00 - 7:00 am,6
2016,pre,hr,7:00 - 8:00 am,7
2016,pre,hr,8:00 - 9:00 am,8
2016,pre,hr,9:00 - 10:00 am,9
