,Model71,Model77,Model89,Model104,Model116
rhosq,0.5087442580473329,0.6008488447055551,0.45726488327884884,0.578741587271322,0.5737969809806756
ASC_1,3.396639585494995,3.2329251766204834,3.131708860397339,2.7258872985839844,3.847102642059326
aux_1,-2.0052008628845215,-0.1054455041885376,-1.1754624843597412,-1.843576192855835,-1.5259743928909302
wt_1,-0.17328140139579773,-1.5268945693969727,-2.1254801750183105,-0.12321248650550842,-0.20294024050235748
iv_1,-0.885138213634491,-0.1818254590034485,-0.2643609642982483,-0.094028040766716,-0.17547564208507538
nTrans_1,-0.4308598041534424,-0.48585641384124756,-2.2695188522338867,-0.2853555679321289,-0.47614458203315735
ASC_2,-2.155787467956543,-2.033036708831787,-2.0046074390411377,-3.210515022277832,-1.8353569507598877
aux_2,-1.394591212272644,-0.5475864410400391,-0.03639688342809677,-0.043310292065143585,-0.7414867281913757
wt_2,-0.4276001453399658,-1.578799843788147,-1.6944648027420044,-1.3707473278045654,-0.3384206295013428
iv_2,-0.043776869773864746,-0.5962904095649719,-0.28407445549964905,-0.8440716862678528,-0.396870881319046
nTrans_2,-1.5499378442764282,-0.2714637815952301,-0.9064474701881409,-0.19594065845012665,-0.7499812245368958
82,1.7488369083505477e-14,4.921058560647396e-10,0.030458614230155945,6.051627133274451e-05,5.945852837863086e-11
84,9.98018857091337e-15,2.5205768139358042e-08,5.732647780620024e-23,0.013131216168403625,0.023376261815428734
96,0.00013170510646887124,0.00012530191452242434,2.68015671505209e-13,0.025535842403769493,0.0004000443732365966
121,4.400405915475209e-23,1.1380018349882448e-06,1.0395602657808922e-05,0.007911909371614456,1.3803002252461838e-13
122,0.00023236779088620096,0.054044775664806366,0.005502934567630291,0.4673196077346802,0.01183787826448679
160,0.0001488204434281215,0.007286504376679659,0.031230922788381577,1.571938264532946e-05,0.0010542460950091481
169,7.217839892437772e-21,1.8315116946925752e-13,4.495891072625602e-12,0.00019039571634493768,9.686342536951997e-07
172,0.7605106234550476,0.010857242159545422,0.5712965726852417,0.983467161655426,0.5529284477233887
173,1.3644075370363112e-19,1.9325333163160846e-13,8.025029005578367e-15,3.419453373340771e-15,2.2076897948863916e-05
176,1.1992362942692125e-06,1.4832448533290482e-18,1.6576694444186968e-12,4.788386199562521e-21,1.5883193896976176e-16
178,2.9026156800245886e-16,3.648290166063245e-14,4.4232941961985794e-12,6.120452521462249e-26,1.662321322259963e-11
179,1.440698816906796e-21,2.0693480564659694e-06,4.179901316534717e-20,1.0985673432010955e-20,1.1821064960226835e-10
182,5.12778142396491e-32,2.1276755362922292e-40,3.643376007244524e-43,0.0,9.279650664482517e-40
183,7.804394816389633e-16,9.961470937014383e-08,9.826861059991643e-06,1.2325809572625397e-15,0.001264980179257691
184,0.05685822665691376,7.753500952389913e-09,8.293576195763692e-17,0.29363614320755005,0.018052781000733376
185,2.850094951365296e-29,2.8373155815588626e-22,2.1450966794573715e-28,6.987009704656262e-32,1.907085753412452e-23
186,0.030307289212942123,0.00012659102503675967,0.00012398276885505766,1.0231999960224085e-28,1.3609508268046345e-19
187,0.2806834578514099,0.0006930681993253529,0.43221694231033325,0.401981383562088,0.1162838339805603
188,3.646969042705975e-21,2.4925224532632414e-31,1.3962883763248088e-28,0.0,1.7822371538783266e-15
195,5.123628852743423e-06,2.958504751945923e-12,3.7289507419380197e-13,3.9987723418968835e-13,0.00045621456229127944
201,3.7325392554521386e-08,9.34277159103658e-06,4.6057990402914584e-05,8.332513032445373e-40,7.907243840057611e-23
241,1.3767593287639102e-08,4.120840003452031e-06,4.850404522471763e-10,0.00716317817568779,0.08871416002511978
243,7.905605823727538e-18,7.077780139752576e-08,5.418008300036095e-14,8.327637624622186e-14,1.9832043562928447e-06
265,0.031537752598524094,4.3155797403542084e-13,8.235370370510964e-19,3.29745206533344e-29,1.168775227711194e-07
266,4.599391090209792e-09,1.8442670044972045e-18,5.978452244740642e-16,2.7227076377186254e-19,0.0018727750284597278
276,2.0412857515417215e-10,0.020237475633621216,2.741040727727295e-10,0.2915613055229187,0.004304653499275446
283,6.100309029797115e-20,1.1033045677950955e-20,2.664000917123375e-20,4.4321529810400456e-27,2.252792374033471e-14
288,4.475298161006357e-23,4.77720423633271e-20,2.6158465008283725e-19,1.4353423729225452e-32,3.530641219922498e-13
