,Model22,Model51,Model57,Model66,Model156,Model178,Model217,Model222,Model316,Model378,Model404,Model424,Model488,Model500,Model617,Model631,tr
rho_tr,0.552939988,0.548712997,0.456170762,0.473169771,0.515382568,0.545654174,0.558701627,0.519338771,0.523448842,0.450718204,0.540491237,0.520673878,0.536427323,0.46145895,0.517999637,0.478944073,0
rho_ts,0.355128734,0.305997512,0.394467856,0.361404108,0.384739124,0.389548583,0.362101127,0.382631945,0.387857693,0.305183185,0.380028767,0.360370439,0.373691565,0.412244481,0.381680536,0.40633329,0
ASC_1,2.406233549,2.455965757,2.000028133,4.316930771,2.20420599,2.474721432,2.483413935,2.26293993,2.375894547,1.664139152,2.323777914,2.365476608,2.37198925,2.149939537,2.354790211,2.159174204,0
aux_1,-0.148859054,-0.137934089,-0.105116278,0.491211832,-0.105636008,-0.123690136,-0.131879196,-0.123341136,-0.122937158,-0.128550395,-0.124220975,-0.121472076,-0.127027541,-0.114919253,-0.124901764,-0.11932487,0
wt_1,0.20104748,0.200960919,0.128422037,0.856994629,0.101854533,0.192883551,0.207720473,0.170947999,0.180687755,0.093506135,0.176164478,0.171441466,0.172666267,0.138507798,0.168213174,0.153972507,0
iv_1,0.139310047,0.13948369,0.139780447,-0.059033547,0.142784595,0.147419631,0.147505045,0.141367078,0.145563751,0.13997373,0.138749108,0.147814453,0.139963239,0.130442068,0.14417319,0.141467854,0
nTrans_1,-3.333194971,-3.312144279,-2.84030509,-5.672647476,-3.022155523,-3.309790134,-3.269615889,-3.124979973,-3.223331213,-3.158969402,-3.186549187,-3.288594961,-3.23234272,-2.922773838,-3.202390432,-3.015666962,0
ASC_2,-3.952928543,-3.978004456,-2.919232845,1.104411721,-3.610784292,-4.49883461,-5.124900341,-4.19969368,-5.346391201,-6.588871002,-6.204617023,-4.810101032,-5.341171265,-2.628744125,-4.460969448,-3.364557505,0
aux_2,0.030294698,-0.024765421,-0.154514685,-0.128445432,-0.134273157,-0.10435839,-0.009307506,-0.083725475,-0.084016986,0.614161491,-0.05512106,-0.086772576,-0.044042815,-0.081396818,-0.063833386,-0.089966454,0
wt_2,-1.130788565,-1.035416842,-0.861303389,0.011583646,-0.326773971,-1.105977774,-1.329477072,-1.082406163,-1.275141954,-1.167296767,-1.483018517,-1.03007412,-1.269448161,-0.622620225,-1.037422299,-0.919500172,0
iv_2,0.134844944,0.08764483,0.01667168,0.122501403,-0.014363892,0.071014248,0.11334464,0.073519863,0.070697375,-1.030179024,0.090394706,0.025199411,0.102609158,0.069536909,0.068360865,0.064111702,0
nTrans_2,-5.189091682,-5.180307865,-7.072117805,-2.989078283,-5.484881401,-5.648899078,-6.229174614,-6.14190197,-6.453597069,-1.71404767,-6.931017399,-5.68050909,-5.926200867,-5.241787434,-5.497952461,-5.833243847,0
78,0.153056502,0.035561554,0.468355,0.284647226,0.172695652,0.278825343,0.136725783,0.207110718,0.208493054,0.253558517,0.259369493,0.184540078,0.179458261,0.359818637,0.199778914,0.315624446,1
82,0.26526022,0.099558793,0.481659144,1.54E-06,0.36744082,0.1689004,0.136109382,0.207112461,0.351658612,0.815839767,0.156221509,0.184541151,0.179481566,0.357461601,0.199792072,0.300036103,1
84,0.61917007,0.019379932,0.480022252,5.22E-05,0.172705129,0.168980122,0.456016123,0.415038019,0.230592281,0.917504132,0.503849089,0.18454057,0.179436043,0.357262403,0.199789882,0.299654424,0
96,0.153054908,0.001177776,0.477372617,0.006322016,0.172704235,0.168980062,0.136107981,0.207107216,0.205946878,0.266186297,0.156234592,0.184540674,0.179455131,0.36330086,0.199790731,0.299654335,1
121,0.881271183,0.009735001,0.699715436,8.87E-07,0.703783512,0.168858483,0.189135537,0.323852807,0.205974534,0.998546422,0.230571195,0.559029758,0.62071538,0.629327059,0.199783653,0.549127698,1
122,0.618556201,0.020307321,0.482642621,3.85E-05,0.751882434,0.168985546,0.357408345,0.242322087,0.432709664,0.498683393,0.337359816,0.18454124,0.179452956,0.356678843,0.199792236,0.299654335,1
160,0.153053015,0.017849799,0.482277721,0.001840402,0.172705129,0.168997705,0.136124417,0.207113832,0.206041574,0.289207578,0.156140283,0.184541151,0.179447025,0.357308596,0.199790701,0.299654245,1
169,0.937394261,0.637426674,0.478328824,0.000548155,0.921884596,0.232569396,0.136126965,0.207112983,0.206130981,0.998554647,0.177045807,0.605294406,0.179440424,0.476573974,0.199785754,0.377928644,0
172,0.980656683,0.615746617,0.482916594,0.00430974,0.813199341,0.761137903,0.998882234,0.86672461,0.875808537,0.963553369,0.910455942,0.288070172,0.871917546,0.417615056,0.97843641,0.553225935,1
173,0.477261633,0.03623284,0.500377834,1.44E-06,0.172692731,0.168889984,0.136108994,0.291897833,0.206010908,0.259519964,0.449625313,0.18454124,0.179445907,0.362621784,0.199783221,0.299653739,1
176,0.388619155,0.006029223,0.467937827,0.000526589,0.172704145,0.168979183,0.136113778,0.20711264,0.205958605,0.640372574,0.156346455,0.18454127,0.179432049,0.371585011,0.199794695,0.299756467,1
178,0.153048769,0.008127364,0.473586321,0.000207372,0.172697708,0.189498425,0.136111364,0.207111001,0.206308097,0.275050879,0.156299978,0.184540629,0.179466695,0.357273102,0.199791506,0.299654484,0
179,0.420158505,0.032055628,0.474261016,4.92E-07,0.30614996,0.16892612,0.357734144,0.327648878,0.733778238,0.305510342,0.216783062,0.184540525,0.179405361,0.503081679,0.36645326,0.299824744,1
182,0.821846843,4.89E-06,0.519610703,8.92E-12,0.17263855,0.168803468,0.136118472,0.207097113,0.206712857,0.999999046,0.154412299,0.184540555,0.179427162,0.359407127,0.199771911,0.29965356,1
