realDep,routes,match,nTrans,wk,iv,wt,nwk,tiv,id,ntiv,aux,ov,tt,cost,tway,matchiv,matchaux,compProp,PS
409,17_61,0,1,19.0,25,8.0,0,0,78,25,19.0,27.0,52.0,62.0,0,23,25.56,1.0,0.021004
428,902_87,0,1,23.5,24,6.5,0,16,78,8,23.5,30.0,54.0,64.0,1,23,25.56,1.032258064516129,0.001367
404,11_10_61,0,2,15.0,27,6.0,0,0,78,27,15.0,21.0,48.0,68.0,0,23,25.56,1.096774193548387,0.019804
428,902_121,1,1,25.56,23,9.44,0,10,78,13,25.56,35.0,58.0,68.0,1,23,25.56,1.096774193548387,0.005218
448,902,0,0,6.0,5,5.0,0,5,84,0,6.0,11.0,16.0,16.0,1,5,8.0,1.0,0.0
455,122,1,0,8.0,5,5.0,0,0,84,5,8.0,13.0,18.0,18.0,0,5,8.0,1.125,0.0
482,2,0,0,11.0,2,6.0,0,0,95,2,11.0,17.0,19.0,19.0,0,5,10.0,1.0,0.346574
485,122,1,0,10.0,5,5.0,0,0,95,5,10.0,15.0,20.0,20.0,0,5,10.0,1.0526315789473684,0.01083
493,902,0,0,11.0,5,6.0,0,5,95,0,11.0,17.0,22.0,22.0,1,5,10.0,1.1578947368421053,0.0
470,475,0,0,10.0,3,13.0,0,0,95,3,10.0,23.0,26.0,26.0,0,5,10.0,1.368421052631579,0.0
443,902,0,0,12.0,5,5.0,0,5,96,0,12.0,17.0,22.0,22.0,1,5,15.0,1.0,0.0
426,2,0,0,15.0,3,5.0,0,0,96,3,15.0,20.0,23.0,23.0,0,5,15.0,1.0454545454545454,0.0
421,121,1,0,15.0,5,5.0,0,0,96,5,15.0,20.0,25.0,25.0,0,5,15.0,1.1363636363636365,0.0
489,121,1,0,5.0,20,2.0,4,0,98,20,9.0,11.0,31.0,31.0,0,20,9.0,1.0,0.150506
508,902_87,0,1,4.5,19,6.5,4,10,98,9,8.5,15.0,34.0,44.0,1,20,9.0,1.4193548387096775,0.001647
496,902_121,0,1,6.56,17,6.44,4,4,98,13,10.559999999999999,17.0,34.0,44.0,1,20,9.0,1.4193548387096775,0.150509
475,2_121,0,1,5.0,20,6.0,4,0,98,20,9.0,15.0,35.0,45.0,0,20,9.0,1.4516129032258065,0.150506
548,121,1,0,15.0,14,2.0,0,0,109,14,15.0,17.0,31.0,31.0,0,14,15.0,1.0,0.144175
534,3,0,0,8.0,15,10.0,0,0,109,15,8.0,18.0,33.0,33.0,0,14,15.0,1.064516129032258,0.0
559,87_902,0,1,6.98,13,12.02,0,8,109,5,6.98,19.0,32.0,42.0,1,14,15.0,1.3548387096774193,0.0
539,122,1,0,7.0,5,5.0,0,0,112,5,7.0,12.0,17.0,17.0,0,5,7.0,1.0,0.0
556,2,0,0,6.0,6,6.0,0,0,112,6,6.0,12.0,18.0,18.0,0,5,7.0,1.0588235294117647,0.0
565,902,0,0,11.0,2,6.0,0,2,112,0,11.0,17.0,19.0,19.0,1,5,7.0,1.1176470588235294,0.0
