tuneID,tunegroup,nclass,niter,nnodes,nepoch,lrate,l2,rho0,rho4,rhomax,rhopmean,membership,desired,successprop
1,1,2,100,64,300,0.001,0,76,29,0.626869602,0.316319174,86,1,0.01
2,1,2,100,64,300,0.001,0.001,80,23,0.603666127,0.30912945,85,0,0
3,1,2,100,64,300,0.001,0.01,50,1,0.446021522,0.154690386,17,0,0
4,1,2,100,64,300,0.001,0.05,49,0,0.363378815,0.131700983,0,0,0
5,1,2,100,64,300,0.001,0.1,40,0,0.258411444,0.12835445,0,0,0
6,1,2,100,64,300,0.002,0,84,51,0.644428364,0.398155612,84,0,0
7,1,2,100,64,300,0.002,0.001,84,37,0.693838858,0.345145948,72,2,0.02
8,1,2,100,64,300,0.002,0.01,84,5,0.511802309,0.197983517,31,0,0
9,1,2,100,64,300,0.002,0.05,70,0,0.33271871,0.151814035,0,0,0
10,1,2,100,64,300,0.002,0.1,63,0,0.282189618,0.131054667,0,0,0
11,1,2,100,64,300,0.05,0,100,17,0.601408644,0.246792782,22,0,0
12,1,2,100,64,300,0.05,0.001,100,68,0.702231736,0.451650187,72,2,0.02
13,1,2,100,64,300,0.05,0.01,100,33,0.494707767,0.364099493,57,0,0
14,1,2,100,64,300,0.05,0.05,100,0,0.386661238,0.27574554,0,0,0
15,1,2,100,64,300,0.05,0.1,100,0,0.386762787,0.243719289,0,0,0
16,1,2,100,64,300,0.1,0,100,0,0.3881214,0.166432579,0,0,0
17,1,2,100,64,300,0.1,0.001,100,10,0.538020031,0.26736333,21,0,0
18,1,2,100,64,300,0.1,0.01,100,18,0.480582579,0.309231301,39,0,0
19,1,2,100,64,300,0.1,0.05,100,0,0.391188659,0.26011917,0,0,0
20,1,2,100,64,300,0.1,0.1,99,0,0.386850255,0.249317186,0,0,0
21,1,2,100,64,300,0.2,0,100,0,0.388121402,0.162330609,0,0,0
22,1,2,100,64,300,0.2,0.001,98,0,0.388121395,0.222123341,1,0,0
23,1,2,100,64,300,0.2,0.01,100,0,0.387765454,0.214831558,0,0,0
24,1,2,100,64,300,0.2,0.05,100,0,0.386914428,0.249604633,0,0,0
25,1,2,100,64,300,0.2,0.1,100,0,0.387330148,0.230459395,0,0,0
26,1,2,100,64,500,0.001,0,83,43,0.774515083,0.386673987,85,1,0.01
27,1,2,100,64,500,0.001,0.001,77,32,0.674856117,0.334515876,81,0,0
28,1,2,100,64,500,0.001,0.01,67,7,0.58155413,0.212829282,20,0,0
29,1,2,100,64,500,0.001,0.05,72,0,0.388244669,0.146666815,0,0,0
30,1,2,100,64,500,0.001,0.1,57,0,0.329929443,0.142951091,0,0,0
31,1,2,100,64,500,0.002,0,98,52,0.749109691,0.384835542,68,1,0.01
32,1,2,100,64,500,0.002,0.001,91,49,0.74977917,0.398205651,64,0,0
33,1,2,100,64,500,0.002,0.01,92,15,0.589013264,0.262963082,26,0,0
34,1,2,100,64,500,0.002,0.05,90,0,0.372275041,0.195381447,0,0,0
35,1,2,100,64,500,0.002,0.1,81,0,0.355596868,0.17548583,0,0,0
36,1,2,100,64,500,0.05,0,100,26,0.581218519,0.288607836,34,0,0
37,1,2,100,64,500,0.05,0.001,100,72,0.696796777,0.485189849,78,3,0.03
38,1,2,100,64,500,0.05,0.01,100,26,0.48671341,0.353302053,54,1,0.01
39,1,2,100,64,500,0.05,0.05,100,0,0.386678832,0.259312687,0,0,0
40,1,2,100,64,500,0.05,0.1,100,0,0.391191226,0.244411249,0,0,0
41,1,2,100,64,500,0.1,0,100,0,0.388121403,0.163094378,0,0,0
42,1,2,100,64,500,0.1,0.001,99,13,0.572883421,0.273279823,24,0,0
43,1,2,100,64,500,0.1,0.01,99,14,0.476815346,0.308114569,35,0,0
44,1,2,100,64,500,0.1,0.05,100,0,0.386774561,0.267422517,0,0,0
45,1,2,100,64,500,0.1,0.1,100,0,0.391192252,0.244808708,0,0,0
46,1,2,100,64,500,0.2,0,100,0,0.388121397,0.182778962,0,0,0
47,1,2,100,64,500,0.2,0.001,100,0,0.388121402,0.216198167,2,0,0
48,1,2,100,64,500,0.2,0.01,98,0,0.388045478,0.221813653,1,0,0
49,1,2,100,64,500,0.2,0.05,100,0,0.387227533,0.260862202,0,0,0
50,1,2,100,64,500,0.2,0.1,100,0,0.39116269,0.239557757,0,0,0
51,1,2,100,128,300,0.001,0,79,34,0.709493492,0.346139032,72,0,0
